Date,Price,Open,High,Low,Vol.,Change %
5/24/2022,"62,079.80","60,097.60","62,079.80","59,917.40",2.03M,3.92%
5/25/2022,"64,782.80","62,079.80","65,143.20","62,079.80",2.36M,4.35%
5/26/2022,"64,242.20","64,782.80","64,782.80","63,701.60",1.53M,-0.83%
5/27/2022,"65,774.00","64,242.20","66,044.30","63,701.60",3.46M,2.38%
5/30/2022,"65,323.40","65,683.90","65,683.90","64,872.90",2.12M,-0.69%
5/31/2022,"64,602.60","64,963.00","65,233.30","64,602.60",2.06M,-1.10%
6/1/2022,"64,782.80","64,422.40","65,413.50","64,242.20",1.23M,0.28%
6/2/2022,"64,062.00","64,872.90","64,872.90","63,791.70",1.49M,-1.11%
6/3/2022,"63,341.20","63,971.90","64,242.20","63,070.90",1.05M,-1.13%
6/6/2022,"63,791.70","63,251.10","64,152.10","63,070.90",1.43M,0.71%
6/7/2022,"63,611.50","63,341.20","63,701.60","63,070.90",1.32M,-0.28%
6/8/2022,"63,971.90","63,701.60","64,332.30","63,701.60",1.70M,0.57%
6/9/2022,"63,251.10","63,971.90","64,062.00","63,251.10",1.05M,-1.13%
6/10/2022,"62,620.40","63,070.90","63,251.10","62,620.40",1.48M,-1.00%
6/13/2022,"59,827.30","61,629.30","61,629.30","59,647.10",2.38M,-4.46%
6/14/2022,"59,557.00","59,016.40","60,818.40","58,926.30",1.39M,-0.45%
6/15/2022,"58,115.30","59,557.00","59,917.40","58,115.30",2.68M,-2.42%
6/16/2022,"61,268.90","58,655.90","61,539.20","58,565.80",2.22M,5.43%
6/17/2022,"60,097.60","60,277.80","61,809.50","58,746.10",2.50M,-1.91%
6/20/2022,"62,169.90","59,827.30","62,800.60","59,827.30",2.59M,3.45%
6/21/2022,"66,404.70","62,350.10","66,494.80","61,989.70",4.84M,6.81%
6/22/2022,"63,611.50","65,864.10","66,134.40","63,611.50",2.21M,-4.21%
6/23/2022,"63,701.60","63,611.50","64,872.90","63,070.90",1.10M,0.14%
6/24/2022,"64,422.40","63,971.90","65,683.90","63,881.80",1.68M,1.13%
6/27/2022,"64,062.00","64,692.70","64,963.00","63,341.20",1.80M,-0.56%
6/28/2022,"63,791.70","63,611.50","65,503.60","63,161.00",3.04M,-0.42%
6/29/2022,"65,143.20","63,611.50","65,503.60","63,611.50",1.94M,2.12%
6/30/2022,"65,053.10","65,143.20","67,395.80","65,053.10",3.58M,-0.14%
7/1/2022,"66,404.70","65,143.20","66,584.90","64,872.90",2.86M,2.08%
7/4/2022,"67,666.10","66,675.00","68,296.80","66,494.80",3.14M,1.90%
7/5/2022,"65,864.10","67,846.30","67,936.40","65,774.00",2.59M,-2.66%
7/6/2022,"65,892.50","66,172.10","66,638.10","64,774.10",2.36M,0.04%
7/7/2022,"68,036.10","65,892.50","68,036.10","65,240.10",3.05M,3.25%
7/8/2022,"68,036.10","68,036.10","68,315.70","67,570.10",1.70M,0.00%
7/11/2022,"68,036.10","67,290.50","69,620.50","67,104.10",2.56M,0.00%
7/12/2022,"68,315.70","68,036.10","68,874.90","67,663.30",976.10K,0.41%
7/13/2022,"67,570.10","68,222.50","68,595.30","67,476.90",1.42M,-1.09%
7/14/2022,"67,476.90","67,383.70","68,222.50","67,290.50",982.30K,-0.14%
7/15/2022,"66,731.30","67,476.90","68,036.10","66,731.30",1.48M,-1.10%
7/18/2022,"66,824.50","67,104.10","67,290.50","66,638.10",1.11M,0.14%
7/19/2022,"67,849.70","67,104.10","67,942.90","66,731.30",1.53M,1.53%
7/20/2022,"68,036.10","68,222.50","68,595.30","67,849.70",1.17M,0.27%
7/21/2022,"68,222.50","67,570.10","68,595.30","67,290.50",1.72M,0.27%
7/22/2022,"67,104.10","68,222.50","68,222.50","67,104.10",712.30K,-1.64%
7/25/2022,"67,942.90","67,104.10","67,942.90","66,917.70",1.24M,1.25%
7/26/2022,"67,104.10","67,942.90","68,036.10","66,917.70",1.15M,-1.23%
7/27/2022,"67,290.50","67,104.10","67,663.30","66,917.70",789.50K,0.28%
7/28/2022,"67,663.30","67,570.10","67,849.70","67,383.70",1.22M,0.55%
7/29/2022,"67,849.70","67,756.50","68,595.30","67,476.90",2.58M,0.28%
8/1/2022,"68,502.10","67,849.70","68,502.10","67,290.50",2.53M,0.96%
8/2/2022,"68,408.90","68,408.90","69,154.50","67,756.50",2.60M,-0.14%
8/3/2022,"68,408.90","67,849.70","68,502.10","67,570.10",3.13M,0.00%
8/4/2022,"68,315.70","68,408.90","68,408.90","67,849.70",1.72M,-0.14%
8/5/2022,"67,663.30","68,315.70","68,408.90","67,663.30",2.14M,-0.95%
